id,sentence,subject_entity,object_entity,label,source
72,"냉전 동안 독일 연방군은 NATO의 서유럽 방위의 주력군이 되었으며 전군을 통틀어 49만 5,000명의 병력과 17만명의 군무원을 거느리고 있었다.","{'word': '독일 연방군', 'start_idx': 6, 'end_idx': 11, 'type': 'ORG'}","{'word': '49만 5,000명', 'start_idx': 46, 'end_idx': 55, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
107,"고양시청 종합상황실에서는 연휴기간동안 09:00 ~ 18:00까지 민원콜센터(031-909-9000)와 교통·버스 종합상황실(버스:031-8075-2017/교통:1577-0961)을 운영하고, 재난상황실(031-8075-2119)은 24시간 가동한다.","{'word': '고양시', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '031-909-9000', 'start_idx': 43, 'end_idx': 54, 'type': 'NOH'}",no_relation,wikitree
192,"1992년에 JSL 1부, 2부 총 28개팀 중 J리그에 참가하지 않겠다고 한 18팀과 전국 지역 리그 결승에 진출한 오사카 가스와 세이노 운수를 넣은 20개팀으로 시작했다.","{'word': 'J리그', 'start_idx': 27, 'end_idx': 29, 'type': 'ORG'}","{'word': '18팀', 'start_idx': 44, 'end_idx': 46, 'type': 'NOH'}",no_relation,wikipedia
194,"(해멀스는 8이닝 1실점을 기록하지만 디키의 호투 때문에 패가 된다). 2011년 1월 31일에는 뉴욕 메츠와 총액 780만 달러에 2년 계약(2013년에 500만 달러 구단 옵션 포함)을 맺으며, 시즌에서는 208.2이닝을 던지며 처음으로 200이닝을 돌파한다.","{'word': '뉴욕 메츠', 'start_idx': 55, 'end_idx': 59, 'type': 'ORG'}","{'word': '500만', 'start_idx': 87, 'end_idx': 90, 'type': 'NOH'}",no_relation,wikipedia
205,"결국, 대한민국 정부의 반대에도 불구하고 주한미군은 약 500명의 군사고문단만 남기고 마지막 남아 있던 부대가 1949년 6월 29일 철수하였다.","{'word': '군사고문단', 'start_idx': 37, 'end_idx': 41, 'type': 'ORG'}","{'word': '500명', 'start_idx': 31, 'end_idx': 34, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
261,"러시아군의 규모는 25,000-30,000명 혹은 34,500명 정도로 어림 잡았고, 160문의 대포를 갖고 왔었다.","{'word': '러시아군', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '25,000', 'start_idx': 10, 'end_idx': 15, 'type': 'NOH'}",no_relation,wikipedia
342,"소련군의 포위 결과 독일군 33,000명과 헝가리군 37,000명, 시민 800,000명이 부다페스트 도시 내로 고립되었다.","{'word': '소련군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '37,000명', 'start_idx': 29, 'end_idx': 35, 'type': 'NOH'}",no_relation,wikipedia
363,"광양시는 매년 120개의 생활체육대회와 10개의 전국 규모 체육대회를 개최하여 약 300억 원의 지역 실물경제에 보탬이 되고 있으며, 특히 원드서핑과 아이스하키, 어린이체육 교실 등 타지역보다 차별화된 종목을 운영하고 있다.","{'word': '광양시', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '10개', 'start_idx': 22, 'end_idx': 24, 'type': 'NOH'}",no_relation,wikitree
440,"21세의 앙갱 공작 루이가 지휘하는 프랑스군은 재빠르게 스페인 군의 움직임에 반응하여 6,000명에 달하는 스페인 원군이 도착하기 전에 전투를 벌이려 하였다.","{'word': '스페인', 'start_idx': 31, 'end_idx': 33, 'type': 'ORG'}","{'word': '6,000명', 'start_idx': 48, 'end_idx': 53, 'type': 'NOH'}",no_relation,wikipedia
635,광주여자대학교(총장 이선재)는 지난 12일 본교 유니버시아드 체육관에서 화려하게 열린 2019 광주세계수영선수권대회 개회식에서 항공서비스학과 학생들로 구성된 69명의 피켓요원들이 그간의 사전훈련을 마치고 드디어 무대에 올랐다고 밝혔다.,"{'word': '광주여자대학교', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '69명', 'start_idx': 88, 'end_idx': 90, 'type': 'NOH'}",no_relation,wikitree
714,"18,000명이 해당 경기를 관전했으며 스위스는 리히텐슈타인에 3-0 승리를 기록했다.","{'word': '스위스', 'start_idx': 22, 'end_idx': 24, 'type': 'ORG'}","{'word': '18,000명', 'start_idx': 0, 'end_idx': 6, 'type': 'NOH'}",no_relation,wikipedia
873,설 연휴기간 상하수도 관련 긴급민원이 발생하면 고양시상하수도사업소 당직실(031-8075-4488)을 통해 24시간 신고할 수 있다.,"{'word': '고양시', 'start_idx': 26, 'end_idx': 28, 'type': 'ORG'}","{'word': '031', 'start_idx': 41, 'end_idx': 43, 'type': 'NOH'}",no_relation,wikitree
927,정현복 광양시장의 환송과 함께 출전한 광양시 선수단은 전문체육분야 5개 종목(골볼·실내조정·시각볼링·시각탁구·쇼다운) 생활체육분야 5개 종목 (장기·피퍼·한궁·팔씨름·줄다리기) 등 10개 종목에 26명이 출전했다.,"{'word': '광양시', 'start_idx': 21, 'end_idx': 23, 'type': 'ORG'}","{'word': '10개', 'start_idx': 101, 'end_idx': 103, 'type': 'NOH'}",no_relation,wikitree
954,"한편 순천시는 아이들 부터 노년까지 세대 맞춤형 인구정책 추진으로 인구가 꾸준히 증가해, 10월말 기준으로 지난해 대비 2145명 증가한 281534명으로 전남 제1의 도시 달성에 한발 더 가까이 다가섰다.","{'word': '순천시', 'start_idx': 3, 'end_idx': 5, 'type': 'ORG'}","{'word': '281534명', 'start_idx': 77, 'end_idx': 83, 'type': 'NOH'}",org:number_of_employees/members,wikitree
1026,"2010년에 전 소녀시대 멤버였던 제시카가 당시 멤버 9명 중 미니홈피나 블로그 등을 하는 사람이 한 명도 없던 중에 10월 13일, 제시카가 처음으로 자신의 트위터 계정을 개설하였다.","{'word': '소녀시대', 'start_idx': 9, 'end_idx': 12, 'type': 'ORG'}","{'word': '9명', 'start_idx': 30, 'end_idx': 31, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
