id,sentence,subject_entity,object_entity,label,source
1,K리그2 리그 1위 광주FC가 지난 26일 한국프로축구연맹으로부터 관중 유치 성과와 마케팅 성과를 인정받아 '풀 스타디움상'과 '플러스 스타디움상'을 받았다.,"{'word': '광주FC', 'start_idx': 21, 'end_idx': 24, 'type': 'ORG'}","{'word': '한국프로축구연맹', 'start_idx': 34, 'end_idx': 41, 'type': 'ORG'}",org:member_of,wikitree
2,"박용오(朴容旿, 1937년 4월 29일(음력 3월 19일)(음력 3월 19일 ~ 2009년 11월 4일))은 서울에서 태어난 대한민국의 사업가로, 두산그룹 회장과 사장을 역임했다. KBO의. 그는 봉사했습니다.","{'word': '박용오', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1937년 4월 29일', 'start_idx': 9, 'end_idx': 20, 'type': 'DAT'}",per:date_of_birth,wikipedia
3,"중국군에 완전히 대항할 수 없을 정도로 약해진 국민당은 수도를 타이베이로 옮기기로 결정하고 남은 중화민국군 병력과 국유, 개인재산을 차례로 대만으로 옮기기 시작했고, 12월에는 , 중앙정부기관도 모두 이전됐다. 타이베이시는 중화민국의 새로운 수도로 지정되었습니다.","{'word': '중화민국', 'start_idx': 59, 'end_idx': 62, 'type': 'ORG'}","{'word': '타이베이', 'start_idx': 32, 'end_idx': 35, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
4,하비에르 파스토레는 아르헨티나 클럽 탈레레스의 청소년팀에서 축구를 시작했습니다.,"{'word': '하비에르 파스토레', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}","{'word': '아르헨티나', 'start_idx': 11, 'end_idx': 15, 'type': 'LOC'}",per:origin,wikipedia
5,"1990년대 중반 이후 탄생한 세대, 이른바 'Z세대'의 대표 아이콘으로 꼽히는 미국의 싱어송라이터 빌리 아일리시(본명 빌리 오코넬·19)가 팝 역사를 다시 썼다.","{'word': '빌리 아일리시', 'start_idx': 60, 'end_idx': 66, 'type': 'PER'}","{'word': '싱어송라이터', 'start_idx': 53, 'end_idx': 58, 'type': 'POH'}",per:title,wikitree
6,"뉴질랜드 1차 산업부 생물보안 대변인 Catherine Dussey 박사는 초파리를 잡기 위해 오클랜드 전역에 약 1,300개의 파리통을 설치했으며, 이 함정에 대한 최종 검사가 곧 실시될 것이라고 말했습니다.","{'word': '뉴질랜드', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '오클랜드', 'start_idx': 43, 'end_idx': 46, 'type': 'LOC'}",org:members,wikitree
7,"문성민은 경기대학교에 입학해 황동일, 신영석과 함께 하계대회, 전국체전, 세계선수권 등 3관왕을 차지하며 대학을 전성기로 이끌었다.","{'word': '문성민', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '경기대', 'start_idx': 5, 'end_idx': 7, 'type': 'ORG'}",per:schools_attended,wikipedia
8,김종필은 1971년 대선을 앞두고 1971년 대선에서 박정희의 당선을 돕기 위해 무려 600억 원을 썼다고 폭로했다.,"{'word': '김종필', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}","{'word': '박정희', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}",per:colleagues,wikipedia
9,"박흥식은 첫째 부인 사이에서 장녀 박병숙 씨를 낳았고, 둘째 부인은 경희대 교수로 재직한 피아니스트 한인하 씨였다. 딸 박봉숙 씨는 이화여대 교수로 재직했다.","{'word': '박흥식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '한인하', 'start_idx': 57, 'end_idx': 59, 'type': 'PER'}",per:spouse,wikipedia
10,"스포츠계에서도 막강한 영향력을 갖고 있는 그는 2008년 9월 만수르 빈 자예드 알 나흐얀이 소유한 맨체스터 시티 FC의 인수를 제안했고, 인수 완료 후 맨체스터 시티 FC의 구단주가 됐다. 잉글랜드 프리미어리그.","{'word': '맨체스터 시티 FC', 'start_idx': 96, 'end_idx': 105, 'type': 'ORG'}","{'word': '프리미어리그', 'start_idx': 88, 'end_idx': 93, 'type': 'ORG'}",org:member_of,wikipedia
