id,sentence,subject_entity,object_entity,label,source
9,"특히 김동연 전 경제부총리를 비롯한 김두관 국회의원, 안규백 국회의원, 김종민 국회의원, 오제세 국회의원, 최운열 국회의원, 김정우 국회의원, 권칠승 국회의원, 맹성규 국회의원등 더불어민주당 국회의원 8명이 영상 축하 메세지를 보내 눈길을 끌었다.","{'word': '안규백', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}","{'word': '더불어민주당', 'start_idx': 100, 'end_idx': 105, 'type': 'ORG'}",per:employee_of,wikitree
15,"성명에는 더불어민주당 이상민 대전광역시당 위원장, 이춘희 세종특별자치시당 위원장, 홍재형 충청북도당 위원장, 박수현 충청남도당 위원장, 이해찬, 박병석, 변재일, 오제세, 노영민, 양승조, 박범계, 박완주 의원이 서명했다.","{'word': '노영민', 'start_idx': 96, 'end_idx': 98, 'type': 'PER'}","{'word': '더불어민주당', 'start_idx': 5, 'end_idx': 10, 'type': 'ORG'}",per:employee_of,wikipedia
16,"이정미 대표도 이날 기자회견에 앞서 한 라디오 방송에 출연 ""정개특위를 한국당에 내주는 건 어떤 일이 있어도 안 된다""며 ""지금 한국당을 어르고 구슬리는 게 민주당에 득이 된다고 생각할지 모르겠지만 정부 여당의 개혁 정책에 가장 힘을 실어줬던 정의당과 야3당의 개혁 공조가 어그러지는 상황이 될 것""이라고 지적했다.","{'word': '이정미', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '정의당', 'start_idx': 136, 'end_idx': 138, 'type': 'ORG'}",no_relation,wikitree
18,"문성민은 경기대학교에 입학하여 황동일, 신영석과 함께 경기대학교의 전성기를 이끌면서 하계대회, 전국체전, 최강전 등 3관왕을 이룬다.","{'word': '문성민', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '경기대', 'start_idx': 5, 'end_idx': 7, 'type': 'ORG'}",per:schools_attended,wikipedia
28,천도교 3대교주 손병희의 영향으로 태화관이 독립선언서 낭독장소가 되었다.,"{'word': '손병희', 'start_idx': 9, 'end_idx': 11, 'type': 'PER'}","{'word': '천도교', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}",per:employee_of,wikipedia
34,이로써 아버지인 카를레스와 아들인 세르히오 부스케츠는 레알 마드리드의 마누엘 산치스 부자와 AC 밀란의 말디니 부자에 이어 3번째로 같은 팀에 유럽 정상에 오른 부자로 기록되었다.,"{'word': '마누엘 산치스', 'start_idx': 39, 'end_idx': 45, 'type': 'PER'}","{'word': '레알 마드리드', 'start_idx': 30, 'end_idx': 36, 'type': 'ORG'}",per:employee_of,wikipedia
61,"한편 서정성 예비후보는 문재인 대통령직속 국가균형발전위원회 국민소통 특별위원과 더불어민주당 국민통합위원회 부위원장으로 활동하며 문재인 정부의 소통 창구 역할과 더불어 광주 남구의사회장, 아이안과 대표원장 및 민족화해협력범국민협의회 의료보건위원장으로 활동하고 있다.","{'word': '문재인', 'start_idx': 71, 'end_idx': 73, 'type': 'PER'}","{'word': '더불어민주당', 'start_idx': 44, 'end_idx': 49, 'type': 'ORG'}",no_relation,wikitree
68,"경성대학교 재학 시절 우완 투수 김기표와 입학 동기생이었는데 이 둘은 입단 당시 각각 '좌원삼', '우기표'로 불렸다.","{'word': '김기표', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}","{'word': '경성대', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}",per:schools_attended,wikipedia
111,"이 지사는 이날 서울 여의도 국회를 방문, 더불어민주당 오제세·변재일·도종환 의원과 자유한국당 나경원 원내대표, 정우택·박덕흠·경대수 의원, 정의당 김종대 의원 등이 참석한 가운데 예산정책간담회를 열어 이 같이 당부했다.","{'word': '박덕흠', 'start_idx': 67, 'end_idx': 69, 'type': 'PER'}","{'word': '자유한국당', 'start_idx': 47, 'end_idx': 51, 'type': 'ORG'}",per:employee_of,wikitree
112,"이날 출판기념회에는 서삼석 더불어민주당 전남도당위원장을 비롯하여, 이개호 국회의원, 김정호 국회의원 등 다수의 정치인들이 참석할 예정이며, 심상정의원(정의당 대표), 안규백 의원, 황주홍 의원, 진선미 의원은 영상으로 축하 메시지를 대신한다.","{'word': '심상정', 'start_idx': 78, 'end_idx': 80, 'type': 'PER'}","{'word': '정의당', 'start_idx': 84, 'end_idx': 86, 'type': 'ORG'}",per:employee_of,wikitree
