id,sentence,subject_entity,object_entity,label,source
1,"1990년대 중반 이후 탄생한 세대, 이른바 'Z세대'의 대표 아이콘으로 꼽히는 미국의 싱어송라이터 빌리 아일리시(본명 빌리 오코넬·19)가 팝 역사를 다시 썼다.","{'word': '빌리 아일리시', 'start_idx': 56, 'end_idx': 62, 'type': 'PER'}","{'word': '싱어송라이터', 'start_idx': 49, 'end_idx': 54, 'type': 'POH'}",per:title,wikitree
2,자유계약선수(FA)로 복귀한 중견수 이택근과 1루수로 안착한 박병호가 클린업 트리오를 구성해 탄탄한 타선을 구성했다.,"{'word': '박병호', 'start_idx': 34, 'end_idx': 36, 'type': 'PER'}","{'word': '1루수', 'start_idx': 25, 'end_idx': 27, 'type': 'POH'}",per:title,wikipedia
3,"(KIA 내야수 허, 투수 이동현, 외야수 김경언 ⇔ 한화 투수 안영명, 박성호, 외야수 김다원). 이 트레이드 파트너 중 안영명은 이범호의 보상선수로 이듬해 팀에 복귀했다.","{'word': '김경언', 'start_idx': 24, 'end_idx': 26, 'type': 'PER'}","{'word': '외야수', 'start_idx': 20, 'end_idx': 22, 'type': 'POH'}",per:title,wikipedia
4,"추혜선 정의당 대변인은 2018년 4월 11일 “공개된 문제에 대한 불신을 해소하기에는 김기식의 해명과 청와대 입장문이 아직 미흡하고, 실제로 추가 의혹이 드러나고 있다”고 밝혔다. 이어 “금융감독원장은 뛰어난 분이다”라고 덧붙였다. 그는 “공정성과 도덕성을 요구하는 입장인 만큼 논란이 지속되면 제대로 된 개혁을 기대하기 어려울 것”이라며 김기식 의원의 사퇴를 촉구했다.","{'word': '추혜선', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '대변인', 'start_idx': 8, 'end_idx': 10, 'type': 'POH'}",per:title,wikipedia
5,"뮤지컬 배우 엄기준, 차지연, 한지상, 마이클 리와 무대감독 이지나가 멘토로 출연한다.","{'word': '차지연', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}","{'word': '뮤지컬 배우', 'start_idx': 0, 'end_idx': 5, 'type': 'POH'}",per:title,wikitree
6,"칸트는 아름다움은 숭고함이라고 주장했고, 이 주장은 조셉 말로드 윌리엄 터너(Joseph Mallord William Turner)와 같은 낭만주의 화가들에 의해 받아들여졌습니다.","{'word': '윌리엄 터너', 'start_idx': 36, 'end_idx': 41, 'type': 'PER'}","{'word': '낭만주의', 'start_idx': 78, 'end_idx': 81, 'type': 'POH'}",no_relation,wikipedia
7,일본경제신문은 파나소닉이 반도체 사업부 주식을 대만 누보톤 테크놀로지에 매각한다고 28일 보도했다.,"{'word': '누보톤', 'start_idx': 29, 'end_idx': 31, 'type': 'ORG'}","{'word': '반도체', 'start_idx': 14, 'end_idx': 16, 'type': 'POH'}",no_relation,wikitree
8,"현재 대표팀의 주전 골키퍼는 디에고 베날리오이며, 바젤의 얀 소머와 백업 골키퍼 자리를 두고 경쟁하고 있다.","{'word': '디에고 베날리오', 'start_idx': 16, 'end_idx': 23, 'type': 'PER'}","{'word': '골키퍼', 'start_idx': 11, 'end_idx': 13, 'type': 'POH'}",per:title,wikipedia
9,"<미녀신령>은 1987년 개봉한 홍콩 로맨틱 코미디 공포영화이다. 제작자는 추이하크, 영화감독은 정소동, 주인공은 장궈잉, 왕조현, 우이다. 엄마.","{'word': '정소동', 'start_idx': 54, 'end_idx': 56, 'type': 'PER'}","{'word': '영화감독', 'start_idx': 48, 'end_idx': 51, 'type': 'POH'}",per:title,wikipedia
10,"드러머 로저 테일러(Roger Taylor)는 2013년 12월 그와 기타리스트 브라이언 메이(Brian May)가 ""함께 모이고 있다...새해를 맞이하여 우리가 얻은 일을 마치면 일종의 음반을 만들 것""이라고 말했습니다. 에 대해 이야기했습니다.","{'word': '로저 테일러', 'start_idx': 4, 'end_idx': 9, 'type': 'PER'}","{'word': '드러머', 'start_idx': 0, 'end_idx': 2, 'type': 'POH'}",per:title,wikipedia
11,이듬해인 1997년 부상에서 회복해 시즌에 돌입했으나 7월 1일 요미우리전에서 내야 땅볼을 친 뒤 1루수 기요하라 가즈히로와 부딪혀 왼쪽 무릎에 타박상을 입었다.,"{'word': '기요하라 가즈히로', 'start_idx': 59, 'end_idx': 67, 'type': 'PER'}","{'word': '1루수', 'start_idx': 55, 'end_idx': 57, 'type': 'POH'}",per:title,wikipedia
12,첼리스트 정명화와 바이올리니스트 정경화의 동생이다.,"{'word': '정명화', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}","{'word': '첼리스트', 'start_idx': 0, 'end_idx': 3, 'type': 'POH'}",per:title,wikipedia
